,IQR Factor,Batch Size,Learning Rate,Max Iters,Beta 1,Beta 2,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
0,1.0,16,0.1,100000.0,0.9,0.9,0.979,0.905,0.875,8.4805
1,1.0,16,0.1,100000.0,0.9,0.95,0.963,0.883,0.917,9.3984
2,1.0,16,0.1,100000.0,0.95,0.9,1.0,0.936,0.917,9.2769
3,1.0,16,0.1,100000.0,0.95,0.95,1.0,0.861,0.875,9.4487
4,1.0,32,0.1,100000.0,0.9,0.9,1.0,0.84,0.917,10.1975
5,1.0,32,0.1,100000.0,0.9,0.95,1.0,0.872,0.917,9.643
6,1.0,32,0.1,100000.0,0.95,0.9,1.0,0.893,0.833,9.9439
7,1.0,32,0.1,100000.0,0.95,0.95,1.0,0.873,0.875,9.9238
8,1.5,16,0.1,100000.0,0.9,0.9,1.0,0.906,0.97,9.8629
9,1.5,16,0.1,100000.0,0.9,0.95,1.0,0.906,0.939,9.9792
10,1.5,16,0.1,100000.0,0.95,0.9,0.992,0.921,0.97,9.1532
11,1.5,16,0.1,100000.0,0.95,0.95,0.996,0.875,0.97,9.8466
12,1.5,32,0.1,100000.0,0.9,0.9,1.0,0.867,0.97,10.1877
13,1.5,32,0.1,100000.0,0.9,0.95,1.0,0.93,1.0,11.4535
14,1.5,32,0.1,100000.0,0.95,0.9,0.992,0.922,0.97,9.8366
15,1.5,32,0.1,100000.0,0.95,0.95,1.0,0.883,1.0,9.5208
